ds,yhat,yhat_lower,yhat_upper
2010-11-19,17469.961943079878,-11591.468841118327,49029.204683618955
2010-11-26,18067.61431316244,-10813.167085295985,46044.255676979024
2010-12-03,18716.76082913733,-10539.309921541451,46116.765078264165
2010-12-10,19637.037953963456,-8100.799987781405,47891.353398046806
2010-12-17,20338.87766296998,-5872.442195628803,51183.38827026216
2010-12-24,27320.87991269693,-1903.6270198268596,57066.399066442405
2010-12-31,13719.108319070905,-14249.030752637373,42701.468059320585
2011-01-07,15137.858604423465,-13966.259515222326,43858.72956432416
2011-01-14,13217.099336869764,-19143.21283659631,41063.67773066845
2011-01-21,13075.885377588664,-16038.417600583403,44567.62105720433
2011-01-28,14328.395239509107,-16071.179427861023,43865.14739061966
2011-02-04,15703.213643163566,-13964.815953700683,42808.801248294716
2011-02-11,16232.34182296712,-12161.60571360787,45824.43606705304
2011-02-18,15927.471537545123,-13463.139049469415,45210.681943218595
2011-02-25,15423.408923908803,-12230.817286086483,44389.07701334053
2011-03-04,15185.738477235032,-14870.707292712736,42723.91088709467
2011-03-11,15172.459000966664,-15190.069747094296,46391.30145476371
2011-03-18,15167.74502281288,-12740.151597997863,45202.63177487817
2011-03-25,15164.92010278115,-14921.398852122327,45330.65897433221
2011-04-01,15310.15230348652,-13562.896366307628,45049.7062110398
2011-04-08,15565.917279791196,-14304.051334104664,43759.45203288902
2011-04-15,15662.337191905006,-13510.424641263404,43178.82840856432
2011-04-22,15424.192387106512,-11663.249322662194,44263.06547899607
2011-04-29,15050.877246790802,-15111.736440185961,43141.74486050352
2011-05-06,14946.827341476503,-12278.458674411198,44543.567799291544
2011-05-13,15270.154113138098,-13357.65766056807,44401.54511730169
2011-05-20,15767.30715409195,-11730.381066121392,46520.490381984484
2011-05-27,16069.79574824938,-13556.097214125859,44055.83085907105
2011-06-03,16092.508414109623,-12056.190806702223,47436.561680137354
2011-06-10,16048.047551745743,-12619.78958169356,46010.6084910404
2011-06-17,16122.9300544551,-12434.67479296166,43809.26635819047
2011-06-24,16236.949311110639,-12316.38634251731,43708.813022099326
2011-07-01,16180.68788452984,-14281.993999373653,47688.42268866391
2011-07-08,15912.350231464809,-13378.323735822418,45328.43005422112
2011-07-15,15615.11868009296,-13291.62627123523,45776.72352000763
2011-07-22,15479.700005341036,-13883.985199158265,43948.787664857344
2011-07-29,15516.595787883554,-12726.40074548635,45142.360919924606
2011-08-05,15628.477653017946,-14080.524835167207,42949.22135703819
2011-08-12,15778.637652532498,-13186.577934665718,44921.74219781293
2011-08-19,15975.673197886776,-14033.96632281918,44940.87482021264
2011-08-26,16109.837277648085,-13652.277061897359,44386.33982419089
2011-09-02,15950.51297108656,-13419.091112651464,43254.71915473405
2011-09-09,15415.928739137114,-12018.799400118518,43205.001847677646
2011-09-16,14793.661013697534,-15331.135461898819,43269.919082691245
2011-09-23,14541.20296889335,-14453.988609344793,45228.82463650487
2011-09-30,14808.863298973716,-12916.750753191702,43589.19260395209
2011-10-07,15244.166078603514,-15347.1997786359,45741.411583231085
2011-10-14,15375.764591894262,-13180.619796956962,44760.838243592145
2011-10-21,15178.29920856636,-11831.37774044611,43311.82707658017
2011-10-28,15126.55209727633,-12414.842154892476,43228.6496601642
2011-11-04,15650.940008544181,-12336.88129611373,43815.99587110352
2011-11-11,16372.727914461935,-13885.188937544755,46783.59226760421
2011-11-18,17572.944492985476,-11040.047789054684,45696.162542562124
2011-11-25,18221.057515873432,-11369.70101270553,45284.20575709107
2011-12-02,18846.57306996625,-9052.561074548808,48146.745472934825
2011-12-09,19746.675081829497,-8856.403525705533,47429.981931366245
2011-12-16,20568.88487099494,-8275.52957704205,48239.035093017614
2011-12-23,20390.425842539313,-6521.308187849301,47650.89722780441
2011-12-30,18645.79420496323,-7951.127201736073,49597.35257757928
2012-01-06,15945.188169531873,-12563.723102609161,47573.21956903104
2012-01-13,13785.559208214067,-13023.81590591721,41604.27440052482
2012-01-20,13325.280306504299,-14204.281187694798,43733.48468883673
2012-01-27,14419.147575885814,-12356.675402900477,42796.236242919804
2012-02-03,15873.780922191534,-13552.288179639596,45088.08902077502
2012-02-10,16589.421767527252,-10822.018349295908,46322.74101221113
2012-02-17,16400.084746595545,-13264.91750992212,46019.15395968118
2012-02-24,15889.935975728871,-13196.341687413063,44644.32510542966
2012-03-02,15597.736092528805,-12369.666030709617,45770.41378650735
2012-03-09,15564.359498480686,-13509.733368801979,45446.65406459093
2012-03-16,15567.76933173451,-12789.070519057545,42510.29270624619
2012-03-23,15555.18094954205,-12517.716653191063,45465.06099337683
2012-03-30,15665.772782438815,-13785.464277802324,44572.35108706582
2012-04-06,15914.83173966356,-11407.597038043043,45142.19836689977
2012-04-13,16058.07785135079,-11833.551735609706,45685.37822621607
2012-04-20,15872.56932974922,-13319.692940808227,45134.19998827936
2012-04-27,15490.173111713892,-12616.194893725322,45656.29696512113
2012-05-04,15307.779539114988,-14298.324375045033,43587.18251246186
2012-05-11,15556.188204860864,-14243.943992637649,42658.41224014891
2012-05-18,16045.354004305776,-13229.086616657292,46102.005587901665
2012-05-25,16393.381627092043,-12850.30086373126,47746.344051733344
2012-06-01,16446.71684383306,-14803.416372041369,45263.53245407929
2012-06-08,16385.320935730128,-13231.265261765197,43897.210504299524
2012-06-15,16427.308396096396,-13099.481367520459,44989.06087879513
2012-06-22,16540.713684505736,-11806.593472668252,45313.06089501141
2012-06-29,16516.27938307295,-11684.995478032091,47578.70041135132
2012-07-06,16266.386405153402,-11314.355364207559,47234.60660594204
2012-07-13,15946.03544417733,-13225.447168001016,43253.701360666615
2012-07-20,15764.413338923467,-14727.001360146638,45607.925817819305
2012-07-27,15766.353453921434,-13397.537044057513,45165.05440557932
2012-08-03,15859.796439564727,-13904.497127545164,46143.509055055634
2012-08-10,15990.895496048364,-13782.512691777523,45625.17107603118
2012-08-17,16171.504784523495,-14864.998256106597,43243.8669757943
2012-08-24,16321.833261299707,-13815.032446075724,47871.29959330204
2012-08-31,16218.777169514653,-12233.824913295148,44610.69125306625
2012-09-07,15730.58074114172,-11498.612992602937,46419.922588169924
2012-09-14,15079.051179881371,-13746.303760020854,43471.70620008377
2012-09-21,14724.60967300984,-13157.058720217467,45219.40036513493
2012-09-28,14902.42320797661,-15088.337930452943,43106.54759268989
2012-10-05,15336.919082669963,-12146.93405526983,45673.0263953828
2012-10-12,15533.53326254444,-11285.663090087013,43975.680902982574
2012-10-19,15360.994544015623,-12671.727270770223,46395.22082970753
2012-10-26,15232.49569222028,-14827.12212758688,46936.37617588469
2012-10-28,22971.735772198343,-8127.406859953417,51347.40990122114
2012-11-04,23553.0916469527,-6364.829857245598,51092.62787815083
2012-11-11,24288.917719818317,-3418.128088088817,52643.93930061823
2012-11-18,25453.528409397702,-2547.3149755216605,52564.878071904306
2012-11-25,26072.71229102779,-2074.555032903081,56515.5615423492
2012-12-02,26713.885678659954,-1060.2044596588337,58085.668864742554
2012-12-09,27630.49412412714,-2432.249802965652,54764.54149611804
2012-12-16,28387.712090452267,-1693.7955440111436,58132.11309356004
2012-12-23,28046.54162639365,-1843.319917918598,57409.341272202284
2012-12-30,26142.273398329075,-3799.1976468560256,52953.26019749625
2013-01-06,23417.114812268665,-3461.3709961385407,50735.66622091341
2013-01-13,21398.582623108592,-6683.71236815915,49895.75305720235
